Timestamp,TPCODL Demand,TPWODL Demand,TPNODL Demand ,TPSOSDL Demand,Total Demand (as recorded),Renewables Generation (SOLAR),Frequency,Vedanta Drawl,IMFA Drawl,Year
2019-10-15 19:30:00,1342.17,80665924308.78,866.99,492.36,4150.26,0.0,50.04,99.79,37.32,2019
2023-06-27 00:15:00,49.98,1375.69,1279.06,989.11,3694.2,20.62,4483.48,0.0,0.13,2023
2023-06-27 00:30:00,50.0,1398.2,1340.65,970.41,3746.54,20.15,4556.5,0.0,0.13,2023
2023-06-27 00:45:00,49.98,1387.97,1282.16,931.29,3666.23,20.54,4463.62,0.0,0.13,2023
2023-06-27 01:00:00,50.01,1360.91,1272.1,944.93,3571.11,21.5,4416.2,0.0,0.13,2023
2023-06-27 01:15:00,50.01,1336.08,1274.36,967.38,3589.71,20.17,4422.12,0.0,0.13,2023
2023-06-27 01:30:00,50.01,1320.53,1299.29,934.28,3612.56,19.88,4389.38,0.0,0.13,2023
2023-06-27 01:45:00,49.99,1294.56,1301.67,959.28,3595.17,20.43,4370.14,0.0,0.13,2023
2023-06-27 02:00:00,49.99,1271.13,1251.78,945.63,3560.25,19.15,4285.28,0.0,0.13,2023
2023-06-27 02:15:00,50.02,1234.13,1203.14,946.85,3458.96,19.31,4162.32,0.0,0.13,2023
2023-06-27 02:30:00,49.99,1217.31,1256.04,956.17,3509.45,21.2,4219.35,0.0,0.13,2023
2023-06-27 02:45:00,49.99,1264.52,1270.0,951.81,3520.75,20.7,4268.14,0.0,0.13,2023
2023-06-27 03:00:00,50.0,1243.19,1226.62,929.29,3463.72,19.26,4168.49,0.0,0.13,2023
2023-06-27 03:15:00,49.98,1248.12,1205.92,908.59,3391.97,18.88,4133.44,0.0,0.13,2023
2023-06-27 03:30:00,49.98,1235.94,1217.2,904.6,3389.59,19.9,4132.8,0.0,0.13,2023
2023-06-27 03:45:00,50.0,1207.3,1196.34,870.14,3333.22,20.4,4030.86,0.0,0.13,2023
2023-06-27 04:00:00,49.98,1216.13,1262.12,901.6,3415.04,19.84,4126.56,0.0,0.13,2023
2023-06-27 04:15:00,49.98,1200.09,1237.65,932.04,3397.52,19.39,4108.44,0.0,0.13,2023
2023-06-27 04:30:00,50.0,1161.57,1259.94,905.87,3372.79,20.39,4079.11,0.0,0.13,2023
2023-06-27 04:45:00,49.97,1184.96,1263.46,913.22,3390.12,20.89,4111.4,0.0,0.13,2023
